roi_index,count,weight
129,317,0.011269716
193,243,0.009713964
221,229,0.009346701
22,220,0.008950912
54,203,0.008674805
48,198,0.008591874
122,197,0.008596998
234,183,0.008438983
107,183,0.0085287215
40,178,0.008360403
66,171,0.008069366
31,168,0.008050402
130,154,0.00782423
202,135,0.0076375864
232,134,0.0076248073
49,131,0.007202826
243,118,0.0071692066
14,113,0.0067421575
197,109,0.006709946
172,104,0.006459212
216,103,0.0067815874
51,103,0.006780148
203,99,0.0064338525
180,95,0.0064806705
171,84,0.006639393
34,81,0.0064278697
106,72,0.005795144
41,72,0.0057470207
45,70,0.006375812
26,69,0.006160218
143,69,0.0061693713
114,62,0.0055648126
157,61,0.0057668076
2,60,0.005419285
155,59,0.0057025086
144,59,0.005516268
81,59,0.0059844847
44,58,0.005796241
18,57,0.005544456
43,56,0.0059978194
175,56,0.005569616
94,56,0.0056977165
205,54,0.0058274777
1,53,0.005488536
63,52,0.0053808503
141,52,0.0058607636
25,47,0.0053585456
140,47,0.0055113696
104,46,0.005661978
241,44,0.005506025
160,43,0.005003132
135,43,0.005326486
4,42,0.005519216
137,41,0.0053395145
151,39,0.005600631
71,37,0.0049632834
170,37,0.0048357407
186,36,0.004731834
165,36,0.004566598
120,34,0.005088976
138,32,0.0047483435
58,32,0.0048997807
192,31,0.0048403773
9,31,0.004879221
226,31,0.0048448932
199,30,0.0046231207
70,30,0.005271124
112,28,0.0044099614
68,27,0.005055606
17,27,0.004492476
217,27,0.004729652
8,27,0.004538853
125,26,0.0047024894
201,25,0.0043347175
240,25,0.004565391
214,25,0.004482855
166,24,0.0047797495
64,23,0.0042285626
191,23,0.004803264
223,22,0.0045011756
79,22,0.0044350186
225,22,0.0047921524
12,22,0.004710707
219,21,0.0043357667
195,20,0.0045430963
97,20,0.0043048174
163,20,0.004033957
152,19,0.0046353047
228,19,0.0047587855
149,18,0.004138912
168,18,0.0045929295
220,18,0.0040088827
189,17,0.0037738916
87,17,0.0036930416
188,17,0.0045626024
237,17,0.004035431
33,16,0.0043578376
78,16,0.0041650888
204,15,0.0042910166
117,15,0.004426231
242,15,0.0042024883
212,15,0.0036688254
15,15,0.004011766
88,15,0.0043563214
73,14,0.0044643497
142,14,0.003757634
213,14,0.0037995102
245,14,0.0039825668
103,14,0.0037862295
132,14,0.00414794
162,14,0.0042946734
57,14,0.0039547742
211,14,0.003919819
176,14,0.003449339
82,14,0.004244741
93,13,0.003828577
133,13,0.004291884
75,13,0.0039055918
154,12,0.0036091078
96,12,0.0036912595
235,12,0.003420285
139,11,0.0036035555
53,11,0.0037155692
37,11,0.0039012788
224,11,0.004242736
27,11,0.0039791185
59,10,0.0041532004
161,9,0.0037056059
164,8,0.0037982408
207,8,0.0039956956
46,8,0.00368432
28,8,0.003077692
102,8,0.0033745351
101,8,0.0030981947
179,8,0.0037399468
124,8,0.003446664
76,8,0.0037487186
3,8,0.003146945
91,7,0.0033808756
185,7,0.0038998523
105,7,0.0039747236
194,7,0.0034412877
56,6,0.0030165003
36,5,0.0029816206
119,5,0.0025880926
159,5,0.002862774
200,5,0.00300136
85,5,0.0029905187
134,5,0.0039011384
178,4,0.002960062
30,4,0.0031482677
5,4,0.003483376
19,4,0.0032344162
89,4,0.0029870619
183,3,0.003307995
231,3,0.0032502944
116,3,0.0029363988
187,3,0.0031288015
67,3,0.0029899844
229,3,0.0033531575
95,3,0.0027386395
60,3,0.0028012837
13,3,0.0035592474
110,3,0.0034402758
167,3,0.003010399
83,3,0.003074514
72,3,0.0026823587
169,2,0.0032916705
210,2,0.0024313899
6,2,0.0027485294
32,2,0.0033284565
230,2,0.0027532433
158,2,0.002635054
208,2,0.0026927495
198,2,0.001979671
146,2,0.0018431856
174,2,0.0023974187
145,2,0.0032273948
21,2,0.002873079
182,2,0.0026445081
131,2,0.0029211123
121,2,0.0024465162
61,2,0.002919508
244,2,0.002584579
222,2,0.002661782
20,2,0.0027716453
80,2,0.0031281111
24,2,0.0028550427
39,2,0.003211312
190,2,0.0026535443
111,2,0.0025706673
239,1,0.0021445798
206,1,0.00322985
238,1,0.002841896
236,1,0.0018062994
218,1,0.0028033066
84,1,0.002643738
77,1,0.0022724024
153,1,0.0027242862
86,1,0.0021810613
126,1,0.0028432384
0,1,0.0027359198
233,1,0.0026686327
209,1,0.0027872329
29,1,0.0023153091
50,1,0.0029839948
38,1,0.0026502395
127,1,0.0027953212
99,1,0.0025365774
108,1,0.0020623205
47,1,0.0028512452
