timepoint,mean_asd,std_asd,mean_tdc,std_tdc,is_top_asd,is_top_tdc
78,7.761038e-06,6.833512e-07,6.977788e-06,7.608614e-07,True,False
79,7.220055e-06,3.0283687e-07,7.2442526e-06,9.613764e-07,False,True
80,7.559311e-06,4.063634e-07,7.360601e-06,7.065448e-07,True,True
81,7.3601695e-06,2.1189523e-07,7.4433383e-06,6.27852e-07,False,True
82,6.997743e-06,7.963902e-07,7.154081e-06,1.0014066e-06,False,False
83,7.0830174e-06,6.0853324e-07,7.1107097e-06,7.252829e-07,False,False
84,7.3780566e-06,4.2715246e-07,6.9428484e-06,8.1093003e-07,False,False
85,7.2448674e-06,6.634027e-07,7.176261e-06,5.9606043e-07,False,False
86,7.2993266e-06,3.9793562e-07,6.5914114e-06,4.5536666e-07,False,False
87,7.4971977e-06,3.9478437e-07,7.0758915e-06,1.0341961e-06,True,False
88,6.972722e-06,4.5396948e-07,7.142686e-06,9.618418e-07,False,False
89,7.39661e-06,3.0537475e-07,6.902623e-06,7.817014e-07,False,False
90,7.66825e-06,3.4854077e-07,7.1289433e-06,9.558173e-07,True,False
91,7.024413e-06,5.28416e-07,7.0349643e-06,7.02899e-07,False,False
92,7.321281e-06,7.7432406e-07,6.680077e-06,1.0419021e-06,False,False
93,6.9646676e-06,3.059891e-07,7.0347523e-06,9.608475e-07,False,False
94,7.660997e-06,3.8410903e-07,7.0727765e-06,7.962844e-07,True,False
95,6.856043e-06,4.843712e-07,7.005623e-06,7.606187e-07,False,False
96,7.1637405e-06,7.875744e-07,6.9083057e-06,6.667424e-07,False,False
97,6.994954e-06,6.167769e-07,7.232462e-06,9.969832e-07,False,True
98,7.400882e-06,4.3591578e-07,7.033007e-06,7.654254e-07,False,False
99,7.5704074e-06,5.6642904e-07,6.793221e-06,7.087327e-07,True,False
100,6.963589e-06,3.8919373e-07,7.28302e-06,1.0821029e-06,False,True
101,7.3505753e-06,4.8269993e-07,7.048634e-06,8.948528e-07,False,False
102,7.437371e-06,5.174166e-07,7.0679584e-06,6.3098145e-07,True,False
103,7.270735e-06,3.2300863e-07,6.7940264e-06,6.659788e-07,False,False
104,7.138004e-06,4.381448e-07,6.7464107e-06,5.9605026e-07,False,False
105,7.2948365e-06,2.8532673e-07,7.053145e-06,6.625783e-07,False,False
106,7.199584e-06,5.4543887e-07,7.0348115e-06,4.7499853e-07,False,False
