fold,accuracy,f1
0,0.5,0.3333333333333333
1,0.5,0.3333333333333333
2,0.5,0.3333333333333333
3,1.0,1.0
4,0.0,0.0
mean±std,0.5000±0.3162,0.4000±0.3266
