timepoint,mean_asd,mean_td,p_raw,p_fdr,sig_raw,sig_fdr
0,0.0017091811,0.0017669654,0.4810311851098693,0.9830986973666398,False,False
1,0.0016977828,0.001822092,0.21924792433115523,0.934383361120463,False,False
2,0.001691058,0.0017622355,0.4472867789454157,0.9830986973666398,False,False
3,0.0017174352,0.0017089285,0.9350808889009702,0.9830986973666398,False,False
4,0.0016159201,0.0016804661,0.5207665595559232,0.9830986973666398,False,False
5,0.0016948445,0.0016915554,0.9708050742009754,0.9855889078182491,False,False
6,0.0016680358,0.0016461185,0.7068569900871742,0.9830986973666398,False,False
7,0.0016405737,0.001659303,0.7287379652003274,0.9830986973666398,False,False
8,0.001639617,0.0017084398,0.3818041475054515,0.9645072868282002,False,False
9,0.0016924413,0.0016846588,0.8860661346220867,0.9830986973666398,False,False
10,0.0017516336,0.001625685,0.02694459881502237,0.934383361120463,True,False
11,0.0017027669,0.0016728688,0.5527705928374643,0.9830986973666398,False,False
12,0.0016361928,0.0017049809,0.1890441305930011,0.934383361120463,False,False
13,0.0015808409,0.0016093481,0.5638661429901424,0.9830986973666398,False,False
14,0.0016728167,0.0017505847,0.22831450194686131,0.934383361120463,False,False
15,0.0016624655,0.0016310991,0.48870438015020634,0.9830986973666398,False,False
16,0.0016680339,0.0016616818,0.9228869828729654,0.9830986973666398,False,False
17,0.0017360381,0.0017422698,0.9064016162028966,0.9830986973666398,False,False
18,0.0016599955,0.0016315263,0.5883127046991854,0.9830986973666398,False,False
19,0.0016509464,0.0016710341,0.7705075628731082,0.9830986973666398,False,False
20,0.0016625652,0.0017197176,0.36540854603189526,0.9610244823288306,False,False
21,0.0016612423,0.0016639562,0.9650873036068959,0.9830986973666398,False,False
22,0.0016758747,0.0016794152,0.9406417540485332,0.9830986973666398,False,False
23,0.0016805467,0.0016376398,0.3097291938790462,0.9610244823288306,False,False
24,0.0016559509,0.0016251309,0.5647872680955679,0.9830986973666398,False,False
25,0.001677777,0.0016722239,0.8793404082711511,0.9830986973666398,False,False
26,0.0017177457,0.001708492,0.8650204097199009,0.9830986973666398,False,False
27,0.0016606419,0.0016917229,0.5141426722973608,0.9830986973666398,False,False
28,0.0016515801,0.0015815621,0.13806972924134,0.934383361120463,False,False
29,0.0016706975,0.0016208652,0.41075431098187776,0.9830986973666398,False,False
30,0.0017175829,0.0016928554,0.741982812779451,0.9830986973666398,False,False
31,0.0016790691,0.0016835555,0.940195483535056,0.9830986973666398,False,False
32,0.0017099548,0.0016029958,0.2019084362724017,0.934383361120463,False,False
33,0.0017435498,0.0016283833,0.22155259574383598,0.934383361120463,False,False
34,0.0016714532,0.0016588729,0.8797165396730862,0.9830986973666398,False,False
35,0.0017082175,0.0016874606,0.6490684154709069,0.9830986973666398,False,False
36,0.0016386264,0.0016925143,0.26964504223120533,0.934383361120463,False,False
37,0.0016645871,0.0016933309,0.5513628070578982,0.9830986973666398,False,False
38,0.0016671255,0.0016699086,0.9425771160784551,0.9830986973666398,False,False
39,0.0016429063,0.0017143423,0.37956313972036443,0.9645072868282002,False,False
40,0.0016684651,0.0016282338,0.3334367903091576,0.9610244823288306,False,False
41,0.0017362831,0.0016701833,0.2624018746761232,0.934383361120463,False,False
42,0.0016497659,0.0016778281,0.6971913002628053,0.9830986973666398,False,False
43,0.0016472706,0.0016568378,0.8498301557804313,0.9830986973666398,False,False
44,0.0016810918,0.0016208626,0.13869262535197496,0.934383361120463,False,False
45,0.0016527589,0.0016503182,0.9583954209136729,0.9830986973666398,False,False
46,0.0017362315,0.0017019497,0.49782512044403393,0.9830986973666398,False,False
47,0.0017158326,0.0016550071,0.47728556800412203,0.9830986973666398,False,False
48,0.0017105,0.0017875843,0.18381938473652215,0.934383361120463,False,False
49,0.0016971318,0.0016787614,0.7686080338275849,0.9830986973666398,False,False
50,0.0017278468,0.0016907634,0.5742727401752183,0.9830986973666398,False,False
51,0.0016594451,0.0016594589,0.9997950328369929,0.9997950328369929,False,False
52,0.0016050909,0.0017024347,0.15894748688561627,0.934383361120463,False,False
53,0.0016601242,0.0017082402,0.2824422787338577,0.934383361120463,False,False
54,0.001730348,0.0017044063,0.638499185687972,0.9830986973666398,False,False
55,0.0017433293,0.0016897436,0.36274436555112916,0.9610244823288306,False,False
56,0.0016838791,0.0016194226,0.353563890720938,0.9610244823288306,False,False
57,0.0016759638,0.0016059196,0.11347442049936818,0.934383361120463,False,False
58,0.001684191,0.0016612817,0.6144579074497336,0.9830986973666398,False,False
59,0.0016892195,0.0015947826,0.29394201290769484,0.9422373921950243,False,False
60,0.0016783535,0.0016150564,0.13408551344525516,0.934383361120463,False,False
61,0.0017066583,0.0016976524,0.832051410056629,0.9830986973666398,False,False
62,0.001677966,0.0016421763,0.385274170412404,0.967215490575073,False,False
63,0.0016394068,0.0016658163,0.6501571174682519,0.9830986973666398,False,False
64,0.0017112658,0.0016799159,0.5316019760769103,0.9830986973666398,False,False
65,0.0016635809,0.0016704705,0.8752770485440373,0.9830986973666398,False,False
66,0.0016321875,0.0016969902,0.17180246854446307,0.934383361120463,False,False
67,0.0016022731,0.0016287301,0.5048601206470634,0.9830986973666398,False,False
68,0.0016881429,0.0017167572,0.21510646991007953,0.934383361120463,False,False
69,0.0017451809,0.0016577386,0.20116788470913483,0.934383361120463,False,False
70,0.0016983524,0.0017171515,0.7749526153880119,0.9830986973666398,False,False
71,0.0016742677,0.0016671789,0.877575302366748,0.9830986973666398,False,False
72,0.0017193535,0.0016746183,0.3576322296557846,0.9610244823288306,False,False
73,0.001633114,0.0016867735,0.2635212369688231,0.934383361120463,False,False
74,0.0017003492,0.0017047618,0.9643930293982431,0.9830986973666398,False,False
75,0.0016519955,0.00163436,0.7742511611810854,0.9830986973666398,False,False
76,0.0016598215,0.001646144,0.794176458530673,0.9830986973666398,False,False
77,0.0016805485,0.0016467919,0.6008711031494647,0.9830986973666398,False,False
78,0.0016237575,0.0016668474,0.2914030437304483,0.9422373921950243,False,False
79,0.0016837206,0.0017013529,0.8019187781706343,0.9830986973666398,False,False
80,0.0016313111,0.0017019783,0.25687277320027024,0.934383361120463,False,False
81,0.0016206574,0.0015598917,0.22738686287278095,0.934383361120463,False,False
82,0.001675535,0.0016953346,0.6342505830354337,0.9830986973666398,False,False
83,0.0017107276,0.001651717,0.47739052520525194,0.9830986973666398,False,False
84,0.0017097013,0.0017152096,0.9381558078819323,0.9830986973666398,False,False
85,0.0016565772,0.0017104705,0.16889575718772773,0.934383361120463,False,False
86,0.001557482,0.0016921163,0.011578355087172174,0.934383361120463,True,False
87,0.0016257785,0.0016642271,0.6255793926883348,0.9830986973666398,False,False
88,0.0017598991,0.0017076446,0.5506440713500124,0.9830986973666398,False,False
89,0.0017235214,0.0016272913,0.17113543507799253,0.934383361120463,False,False
90,0.0016363427,0.0016986039,0.37479954810824395,0.9610244823288306,False,False
91,0.0016491493,0.0016617685,0.7809133123277183,0.9830986973666398,False,False
92,0.0016181028,0.00168194,0.272170717847337,0.934383361120463,False,False
93,0.001688496,0.0016863231,0.966519602228539,0.9830986973666398,False,False
94,0.0016703422,0.0017109262,0.5538739397887691,0.9830986973666398,False,False
95,0.0017224367,0.0016440265,0.17893866169990194,0.934383361120463,False,False
96,0.0016243635,0.0016613178,0.46700460314106074,0.9830986973666398,False,False
97,0.0015904575,0.001649027,0.24454763609462554,0.934383361120463,False,False
98,0.0016112893,0.0016369805,0.5495445444167651,0.9830986973666398,False,False
99,0.0016603388,0.0016093387,0.16105012796987964,0.934383361120463,False,False
100,0.0017076327,0.0016321735,0.35785863220592895,0.9610244823288306,False,False
101,0.0017319064,0.0016523914,0.21379805854500292,0.934383361120463,False,False
102,0.001706403,0.0016709378,0.6684184556761781,0.9830986973666398,False,False
103,0.0016465138,0.0016954258,0.4216812795045882,0.9830986973666398,False,False
104,0.0016848147,0.0016177727,0.17557889177603772,0.934383361120463,False,False
105,0.0016672395,0.0016315486,0.49587689171760807,0.9830986973666398,False,False
106,0.0016990604,0.0016075044,0.17025717325557094,0.934383361120463,False,False
107,0.0016807355,0.0016293207,0.4362243247861197,0.9830986973666398,False,False
108,0.0017385744,0.0016418826,0.09280873790725362,0.934383361120463,False,False
109,0.0016825728,0.0016357063,0.4539690147864851,0.9830986973666398,False,False
110,0.0017011663,0.0016275148,0.08466831205545226,0.934383361120463,False,False
